path,last_commit,last_commit_date_utc,last_subject,owner_scope,change_tag
".gitignore","4040774","2026-02-26T13:24:48Z","security: remove local key material from repository","shared","core"
"LICENSE","9195d36","2026-02-26T13:22:06Z","Initial commit","shared","core"
"README.md","97883a8","2026-02-26T13:33:18Z","docs: translate core documentation to English","shared","core"
"ai/AI_AUTONOMY_QUEUE.txt","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/bootstrap.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/core/m2m.ai2ai.lite.blob.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/core/m2m.ai2ai.lite.table.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/core/m2m.ai2ai.source.adapt.blob.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/core/m2m.ai2ai.source.adapt.ids.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/core/m2m.ai2ai.source.adapt.table.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/core/m2m.db.packet.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/db/sql/postgres.locked.sql","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/exchange/bootstrap-node.run.sh","daa7859","2026-03-02T11:36:50Z","docs: finalize English AI2AI bootstrap and server wording","ai","security"
"ai/exchange/build-package.run.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/exchange/init-signing-key.run.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/exchange/rebuild-all.run.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/exchange/rebuild-core.run.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/exchange/sync-core.run.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/exchange/trust-add-peer.run.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/exchange/trust-revoke-peer.run.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/exchange/unpack-package.run.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/keys/.gitkeep","4040774","2026-02-26T13:24:48Z","security: remove local key material from repository","ai","security"
"ai/native-core/aiir_core.c","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/native-core/aiir_core.h","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/native-core/aiir_drift.c","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/native-core/aiir_drift.h","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/native-core/aiir_policy.c","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/native-core/aiir_policy.h","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/native-core/aiir_state.c","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/native-core/aiir_state.h","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/packages-native/mms2_aiir/content.table.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/mms2_aiir/files.table.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/mms2_aiir/m2m.ai2ai.lite.blob.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/mms2_aiir/m2m.ai2ai.lite.table.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/mms2_aiir/m2m.ai2ai.source.adapt.blob.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/mms2_aiir/m2m.ai2ai.source.adapt.ids.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/mms2_aiir/m2m.ai2ai.source.adapt.table.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/mms2_aiir/m2m.db.packet.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/mms2_aiir/manifest.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/mms2_aiir/paths.blob.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/mms2_aiir/source.blob.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/test_mms2/content.table.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/test_mms2/files.table.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/test_mms2/m2m.ai2ai.lite.blob.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/test_mms2/m2m.ai2ai.lite.table.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/test_mms2/m2m.ai2ai.source.adapt.blob.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/test_mms2/m2m.ai2ai.source.adapt.ids.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/test_mms2/m2m.ai2ai.source.adapt.table.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/test_mms2/m2m.db.packet.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/test_mms2/manifest.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/test_mms2/paths.blob.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/packages-native/test_mms2/source.blob.aiir","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/rebuild.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/runtime-server-native/Makefile","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","runtime"
"ai/runtime-server-native/ai-runtime-native","063dc8d","2026-03-02T19:37:17Z","runtime: add gateway v1 endpoints for multi-project DB orchestration","ai","runtime"
"ai/runtime-server-native/ai_runtime_native.c","063dc8d","2026-03-02T19:37:17Z","runtime: add gateway v1 endpoints for multi-project DB orchestration","ai","runtime"
"ai/runtime-server-native/ai_runtime_native.h","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","runtime"
"ai/state/snapshot.json","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","security"
"ai/toolchain-native/Makefile","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/toolchain-native/aiir-toolchain","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/toolchain-native/aiir-toolchain-static","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/toolchain-native/aiir_toolchain.c","4b5ef36","2026-03-02T17:49:27Z","security: switch capability signatures to HMAC-SHA256","ai","core"
"ai/toolchain-native/aiird","063dc8d","2026-03-02T19:37:17Z","runtime: add gateway v1 endpoints for multi-project DB orchestration","ai","core"
"ai/toolchain-native/aiird-static","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"ai/toolchain-native/build-static.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","core"
"aiir.repo.json","ef654f3","2026-02-26T13:31:26Z","docs: add AI-discoverability metadata and search-intent docs","shared","core"
"docs/AI2AI_HANDOFF.md","97883a8","2026-02-26T13:33:18Z","docs: translate core documentation to English","ai","docs"
"docs/AIIR_GATEWAY_V1.md","01f0f71","2026-03-02T19:51:31Z","ops: add project+domain provisioning helper with AI-managed security defaults","ai","docs"
"docs/AI_DISCOVERY.md","ef654f3","2026-02-26T13:31:26Z","docs: add AI-discoverability metadata and search-intent docs","ai","docs"
"docs/GIT_PUBLISHING.md","97883a8","2026-02-26T13:33:18Z","docs: translate core documentation to English","ai","docs"
"docs/HUMAN_ACTIONS_V1.md","db1ec61","2026-03-02T20:05:29Z","docs: add HAL v1 intent-to-contract model for human operations","ai","docs"
"docs/HUMAN_GUIDE.md","db1ec61","2026-03-02T20:05:29Z","docs: add HAL v1 intent-to-contract model for human operations","ai","docs"
"docs/RELEASE_CHECKLIST.md","01f0f71","2026-03-02T19:51:31Z","ops: add project+domain provisioning helper with AI-managed security defaults","ai","docs"
"llms.txt","ef654f3","2026-02-26T13:31:26Z","docs: add AI-discoverability metadata and search-intent docs","shared","core"
"server/README.md","db1ec61","2026-03-02T20:05:29Z","docs: add HAL v1 intent-to-contract model for human operations","ai","core"
"server/apache/aiir-runtime.conf","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/container/Dockerfile","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/env/ai-gateway.env","063dc8d","2026-03-02T19:37:17Z","runtime: add gateway v1 endpoints for multi-project DB orchestration","ai","runtime"
"server/env/ai-runtime.env","11cefe0","2026-03-02T17:34:08Z","runtime: add openapi endpoint and structured request logging","ai","runtime"
"server/nginx/aiir-runtime.conf","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/scripts/backup-state.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/scripts/build-native-runtime.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/scripts/check-runtime.sh","11cefe0","2026-03-02T17:34:08Z","runtime: add openapi endpoint and structured request logging","ai","ops"
"server/scripts/lockdown-perms.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/scripts/provision-project-domain.sh","01f0f71","2026-03-02T19:51:31Z","ops: add project+domain provisioning helper with AI-managed security defaults","ai","ops"
"server/scripts/restore-state.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/scripts/smoke-capability.sh","11cefe0","2026-03-02T17:34:08Z","runtime: add openapi endpoint and structured request logging","ai","ops"
"server/scripts/smoke-gateway.sh","063dc8d","2026-03-02T19:37:17Z","runtime: add gateway v1 endpoints for multi-project DB orchestration","ai","ops"
"server/scripts/smoke-runtime.sh","11cefe0","2026-03-02T17:34:08Z","runtime: add openapi endpoint and structured request logging","ai","ops"
"server/scripts/start-runtime.sh","063dc8d","2026-03-02T19:37:17Z","runtime: add gateway v1 endpoints for multi-project DB orchestration","ai","ops"
"server/systemd/aiir-runtime.service","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","runtime"
"server/systemd/aiir-smoke.service","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","runtime"
"server/systemd/aiir-smoke.timer","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","runtime"
"server/systemd/aiir-state-backup.service","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","runtime"
"server/systemd/aiir-state-backup.timer","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","runtime"
"test/AIIR_IMPROVEMENT_BACKLOG.md","25ea572","2026-03-02T17:28:20Z","runtime: add metrics endpoint and refresh AI-first repo benchmark backlog","ai","analysis"
"test/AI_FIRST_WORKFLOW.md","962fe3e","2026-03-02T17:24:15Z","security: add AIIR capability tokens, audit logs, and AI-first repo analysis workflow","ai","analysis"
"test/FEATURE_EXCLUSIONS.txt","962fe3e","2026-03-02T17:24:15Z","security: add AIIR capability tokens, audit logs, and AI-first repo analysis workflow","ai","analysis"
"test/FEATURE_MATRIX.csv","25ea572","2026-03-02T17:28:20Z","runtime: add metrics endpoint and refresh AI-first repo benchmark backlog","ai","analysis"
"test/OPEN_REPO_TESTS.md","25ea572","2026-03-02T17:28:20Z","runtime: add metrics endpoint and refresh AI-first repo benchmark backlog","ai","analysis"
"test/OPEN_REPO_TEST_LOG.csv","25ea572","2026-03-02T17:28:20Z","runtime: add metrics endpoint and refresh AI-first repo benchmark backlog","ai","analysis"
"test/REPO_SOURCES.txt","25ea572","2026-03-02T17:28:20Z","runtime: add metrics endpoint and refresh AI-first repo benchmark backlog","ai","analysis"
"test/analyze-improvement-gaps.sh","962fe3e","2026-03-02T17:24:15Z","security: add AIIR capability tokens, audit logs, and AI-first repo analysis workflow","ai","analysis"
"test/benchmark-open-repos.sh","962fe3e","2026-03-02T17:24:15Z","security: add AIIR capability tokens, audit logs, and AI-first repo analysis workflow","ai","analysis"
